"customer_id","country","support_rep_id"
"1","Brazil","3"
"2","Germany","5"
"3","Canada","3"
"4","Norway","4"
"5","Czech Republic","4"
"6","Czech Republic","5"
"7","Austria","5"
"8","Belgium","4"
"9","Denmark","4"
"10","Brazil","4"
"11","Brazil","5"
"12","Brazil","3"
"13","Brazil","4"
"14","Canada","5"
"15","Canada","3"
"16","USA","4"
"17","USA","5"
"18","USA","3"
"19","USA","3"
"20","USA","4"
"21","USA","5"
"22","USA","4"
"23","USA","4"
"24","USA","3"
"25","USA","5"
"26","USA","4"
"27","USA","4"
"28","USA","5"
"29","Canada","3"
"30","Canada","3"
"31","Canada","5"
"32","Canada","4"
"33","Canada","3"
"34","Portugal","4"
"35","Portugal","4"
"36","Germany","5"
"37","Germany","3"
"38","Germany","3"
"39","France","4"
"40","France","4"
"41","France","5"
"42","France","3"
"43","France","3"
"44","Finland","3"
"45","Hungary","3"
"46","Ireland","3"
"47","Italy","5"
"48","Netherlands","5"
"49","Poland","4"
"50","Spain","5"
"51","Sweden","5"
"52","United Kingdom","3"
"53","United Kingdom","3"
"54","United Kingdom","5"
"55","Australia","4"
"56","Argentina","4"
"57","Chile","5"
"58","India","3"
"59","India","3"
