"invoice_id","customer_id","invoice_date","billing_country","total"
"1","2","2021-01-01","Germany","1.98"
"2","4","2021-01-02","Norway","3.96"
"3","8","2021-01-03","Belgium","5.94"
"4","14","2021-01-06","Canada","8.91"
"5","23","2021-01-11","USA","13.86"
"6","37","2021-01-19","Germany","0.99"
"7","38","2021-02-01","Germany","1.98"
"8","40","2021-02-01","France","1.98"
"9","42","2021-02-02","France","3.96"
"10","46","2021-02-03","Ireland","5.94"
"11","52","2021-02-06","United Kingdom","8.91"
"12","2","2021-02-11","Germany","13.86"
"13","16","2021-02-19","USA","0.99"
"14","17","2021-03-04","USA","1.98"
"15","19","2021-03-04","USA","1.98"
"16","21","2021-03-05","USA","3.96"
"17","25","2021-03-06","USA","5.94"
"18","31","2021-03-09","Canada","8.91"
"19","40","2021-03-14","France","13.86"
"20","54","2021-03-22","United Kingdom","0.99"
"21","55","2021-04-04","Australia","1.98"
"22","57","2021-04-04","Chile","1.98"
"23","59","2021-04-05","India","3.96"
"24","4","2021-04-06","Norway","5.94"
"25","10","2021-04-09","Brazil","8.91"
"26","19","2021-04-14","USA","13.86"
"27","33","2021-04-22","Canada","0.99"
"28","34","2021-05-05","Portugal","1.98"
"29","36","2021-05-05","Germany","1.98"
"30","38","2021-05-06","Germany","3.96"
"31","42","2021-05-07","France","5.94"
"32","48","2021-05-10","Netherlands","8.91"
"33","57","2021-05-15","Chile","13.86"
"34","12","2021-05-23","Brazil","0.99"
"35","13","2021-06-05","Brazil","1.98"
"36","15","2021-06-05","Canada","1.98"
"37","17","2021-06-06","USA","3.96"
"38","21","2021-06-07","USA","5.94"
"39","27","2021-06-10","USA","8.91"
"40","36","2021-06-15","Germany","13.86"
"41","50","2021-06-23","Spain","0.99"
"42","51","2021-07-06","Sweden","1.98"
"43","53","2021-07-06","United Kingdom","1.98"
"44","55","2021-07-07","Australia","3.96"
"45","59","2021-07-08","India","5.94"
"46","6","2021-07-11","Czech Republic","8.91"
"47","15","2021-07-16","Canada","13.86"
"48","29","2021-07-24","Canada","0.99"
"49","30","2021-08-06","Canada","1.98"
"50","32","2021-08-06","Canada","1.98"
"51","34","2021-08-07","Portugal","3.96"
"52","38","2021-08-08","Germany","5.94"
"53","44","2021-08-11","Finland","8.91"
"54","53","2021-08-16","United Kingdom","13.86"
"55","8","2021-08-24","Belgium","0.99"
"56","9","2021-09-06","Denmark","1.98"
"57","11","2021-09-06","Brazil","1.98"
"58","13","2021-09-07","Brazil","3.96"
"59","17","2021-09-08","USA","5.94"
"60","23","2021-09-11","USA","8.91"
"61","32","2021-09-16","Canada","13.86"
"62","46","2021-09-24","Ireland","0.99"
"63","47","2021-10-07","Italy","1.98"
"64","49","2021-10-07","Poland","1.98"
"65","51","2021-10-08","Sweden","3.96"
"66","55","2021-10-09","Australia","5.94"
"67","2","2021-10-12","Germany","8.91"
"68","11","2021-10-17","Brazil","13.86"
"69","25","2021-10-25","USA","0.99"
"70","26","2021-11-07","USA","1.98"
"71","28","2021-11-07","USA","1.98"
"72","30","2021-11-08","Canada","3.96"
"73","34","2021-11-09","Portugal","5.94"
"74","40","2021-11-12","France","8.91"
"75","49","2021-11-17","Poland","13.86"
"76","4","2021-11-25","Norway","0.99"
"77","5","2021-12-08","Czech Republic","1.98"
"78","7","2021-12-08","Austria","1.98"
"79","9","2021-12-09","Denmark","3.96"
"80","13","2021-12-10","Brazil","5.94"
"81","19","2021-12-13","USA","8.91"
"82","28","2021-12-18","USA","13.86"
"83","42","2021-12-26","France","0.99"
"84","43","2022-01-08","France","1.98"
"85","45","2022-01-08","Hungary","1.98"
"86","47","2022-01-09","Italy","3.96"
"87","51","2022-01-10","Sweden","6.94"
"88","57","2022-01-13","Chile","17.91"
"89","7","2022-01-18","Austria","18.86"
"90","21","2022-01-26","USA","0.99"
"91","22","2022-02-08","USA","1.98"
"92","24","2022-02-08","USA","1.98"
"93","26","2022-02-09","USA","3.96"
"94","30","2022-02-10","Canada","5.94"
"95","36","2022-02-13","Germany","8.91"
"96","45","2022-02-18","Hungary","21.86"
"97","59","2022-02-26","India","1.99"
"98","1","2022-03-11","Brazil","3.98"
"99","3","2022-03-11","Canada","3.98"
"100","5","2022-03-12","Czech Republic","3.96"
"101","9","2022-03-13","Denmark","5.94"
"102","15","2022-03-16","Canada","9.91"
"103","24","2022-03-21","USA","15.86"
"104","38","2022-03-29","Germany","0.99"
"105","39","2022-04-11","France","1.98"
"106","41","2022-04-11","France","1.98"
"107","43","2022-04-12","France","3.96"
"108","47","2022-04-13","Italy","5.94"
"109","53","2022-04-16","United Kingdom","8.91"
"110","3","2022-04-21","Canada","13.86"
"111","17","2022-04-29","USA","0.99"
"112","18","2022-05-12","USA","1.98"
"113","20","2022-05-12","USA","1.98"
"114","22","2022-05-13","USA","3.96"
"115","26","2022-05-14","USA","5.94"
"116","32","2022-05-17","Canada","8.91"
"117","41","2022-05-22","France","13.86"
"118","55","2022-05-30","Australia","0.99"
"119","56","2022-06-12","Argentina","1.98"
"120","58","2022-06-12","India","1.98"
"121","1","2022-06-13","Brazil","3.96"
"122","5","2022-06-14","Czech Republic","5.94"
"123","11","2022-06-17","Brazil","8.91"
"124","20","2022-06-22","USA","13.86"
"125","34","2022-06-30","Portugal","0.99"
"126","35","2022-07-13","Portugal","1.98"
"127","37","2022-07-13","Germany","1.98"
"128","39","2022-07-14","France","3.96"
"129","43","2022-07-15","France","5.94"
"130","49","2022-07-18","Poland","8.91"
"131","58","2022-07-23","India","13.86"
"132","13","2022-07-31","Brazil","0.99"
"133","14","2022-08-13","Canada","1.98"
"134","16","2022-08-13","USA","1.98"
"135","18","2022-08-14","USA","3.96"
"136","22","2022-08-15","USA","5.94"
"137","28","2022-08-18","USA","8.91"
"138","37","2022-08-23","Germany","13.86"
"139","51","2022-08-31","Sweden","0.99"
"140","52","2022-09-13","United Kingdom","1.98"
"141","54","2022-09-13","United Kingdom","1.98"
"142","56","2022-09-14","Argentina","3.96"
"143","1","2022-09-15","Brazil","5.94"
"144","7","2022-09-18","Austria","8.91"
"145","16","2022-09-23","USA","13.86"
"146","30","2022-10-01","Canada","0.99"
"147","31","2022-10-14","Canada","1.98"
"148","33","2022-10-14","Canada","1.98"
"149","35","2022-10-15","Portugal","3.96"
"150","39","2022-10-16","France","5.94"
"151","45","2022-10-19","Hungary","8.91"
"152","54","2022-10-24","United Kingdom","13.86"
"153","9","2022-11-01","Denmark","0.99"
"154","10","2022-11-14","Brazil","1.98"
"155","12","2022-11-14","Brazil","1.98"
"156","14","2022-11-15","Canada","3.96"
"157","18","2022-11-16","USA","5.94"
"158","24","2022-11-19","USA","8.91"
"159","33","2022-11-24","Canada","13.86"
"160","47","2022-12-02","Italy","0.99"
"161","48","2022-12-15","Netherlands","1.98"
"162","50","2022-12-15","Spain","1.98"
"163","52","2022-12-16","United Kingdom","3.96"
"164","56","2022-12-17","Argentina","5.94"
"165","3","2022-12-20","Canada","8.91"
"166","12","2022-12-25","Brazil","13.86"
"167","26","2023-01-02","USA","0.99"
"168","27","2023-01-15","USA","1.98"
"169","29","2023-01-15","Canada","1.98"
"170","31","2023-01-16","Canada","3.96"
"171","35","2023-01-17","Portugal","5.94"
"172","41","2023-01-20","France","8.91"
"173","50","2023-01-25","Spain","13.86"
"174","5","2023-02-02","Czech Republic","0.99"
"175","6","2023-02-15","Czech Republic","1.98"
"176","8","2023-02-15","Belgium","1.98"
"177","10","2023-02-16","Brazil","3.96"
"178","14","2023-02-17","Canada","5.94"
"179","20","2023-02-20","USA","8.91"
"180","29","2023-02-25","Canada","13.86"
"181","43","2023-03-05","France","0.99"
"182","44","2023-03-18","Finland","1.98"
"183","46","2023-03-18","Ireland","1.98"
"184","48","2023-03-19","Netherlands","3.96"
"185","52","2023-03-20","United Kingdom","5.94"
"186","58","2023-03-23","India","8.91"
"187","8","2023-03-28","Belgium","13.86"
"188","22","2023-04-05","USA","0.99"
"189","23","2023-04-18","USA","1.98"
"190","25","2023-04-18","USA","1.98"
"191","27","2023-04-19","USA","3.96"
"192","31","2023-04-20","Canada","5.94"
"193","37","2023-04-23","Germany","14.91"
"194","46","2023-04-28","Ireland","21.86"
"195","1","2023-05-06","Brazil","0.99"
"196","2","2023-05-19","Germany","1.98"
"197","4","2023-05-19","Norway","1.98"
"198","6","2023-05-20","Czech Republic","3.96"
"199","10","2023-05-21","Brazil","5.94"
"200","16","2023-05-24","USA","8.91"
"201","25","2023-05-29","USA","18.86"
"202","39","2023-06-06","France","1.99"
"203","40","2023-06-19","France","2.98"
"204","42","2023-06-19","France","3.98"
"205","44","2023-06-20","Finland","7.96"
"206","48","2023-06-21","Netherlands","8.94"
"207","54","2023-06-24","United Kingdom","8.91"
"208","4","2023-06-29","Norway","15.86"
"209","18","2023-07-07","USA","0.99"
"210","19","2023-07-20","USA","1.98"
"211","21","2023-07-20","USA","1.98"
"212","23","2023-07-21","USA","3.96"
"213","27","2023-07-22","USA","5.94"
"214","33","2023-07-25","Canada","8.91"
"215","42","2023-07-30","France","13.86"
"216","56","2023-08-07","Argentina","0.99"
"217","57","2023-08-20","Chile","1.98"
"218","59","2023-08-20","India","1.98"
"219","2","2023-08-21","Germany","3.96"
"220","6","2023-08-22","Czech Republic","5.94"
"221","12","2023-08-25","Brazil","8.91"
"222","21","2023-08-30","USA","13.86"
"223","35","2023-09-07","Portugal","0.99"
"224","36","2023-09-20","Germany","1.98"
"225","38","2023-09-20","Germany","1.98"
"226","40","2023-09-21","France","3.96"
"227","44","2023-09-22","Finland","5.94"
"228","50","2023-09-25","Spain","8.91"
"229","59","2023-09-30","India","13.86"
"230","14","2023-10-08","Canada","0.99"
"231","15","2023-10-21","Canada","1.98"
"232","17","2023-10-21","USA","1.98"
"233","19","2023-10-22","USA","3.96"
"234","23","2023-10-23","USA","5.94"
"235","29","2023-10-26","Canada","8.91"
"236","38","2023-10-31","Germany","13.86"
"237","52","2023-11-08","United Kingdom","0.99"
"238","53","2023-11-21","United Kingdom","1.98"
"239","55","2023-11-21","Australia","1.98"
"240","57","2023-11-22","Chile","3.96"
"241","2","2023-11-23","Germany","5.94"
"242","8","2023-11-26","Belgium","8.91"
"243","17","2023-12-01","USA","13.86"
"244","31","2023-12-09","Canada","0.99"
"245","32","2023-12-22","Canada","1.98"
"246","34","2023-12-22","Portugal","1.98"
"247","36","2023-12-23","Germany","3.96"
"248","40","2023-12-24","France","5.94"
"249","46","2023-12-27","Ireland","8.91"
"250","55","2024-01-01","Australia","13.86"
"251","10","2024-01-09","Brazil","0.99"
"252","11","2024-01-22","Brazil","1.98"
"253","13","2024-01-22","Brazil","1.98"
"254","15","2024-01-23","Canada","3.96"
"255","19","2024-01-24","USA","5.94"
"256","25","2024-01-27","USA","8.91"
"257","34","2024-02-01","Portugal","13.86"
"258","48","2024-02-09","Netherlands","0.99"
"259","49","2024-02-22","Poland","1.98"
"260","51","2024-02-22","Sweden","1.98"
"261","53","2024-02-23","United Kingdom","3.96"
"262","57","2024-02-24","Chile","5.94"
"263","4","2024-02-27","Norway","8.91"
"264","13","2024-03-03","Brazil","13.86"
"265","27","2024-03-11","USA","0.99"
"266","28","2024-03-24","USA","1.98"
"267","30","2024-03-24","Canada","1.98"
"268","32","2024-03-25","Canada","3.96"
"269","36","2024-03-26","Germany","5.94"
"270","42","2024-03-29","France","8.91"
"271","51","2024-04-03","Sweden","13.86"
"272","6","2024-04-11","Czech Republic","0.99"
"273","7","2024-04-24","Austria","1.98"
"274","9","2024-04-24","Denmark","1.98"
"275","11","2024-04-25","Brazil","3.96"
"276","15","2024-04-26","Canada","5.94"
"277","21","2024-04-29","USA","8.91"
"278","30","2024-05-04","Canada","13.86"
"279","44","2024-05-12","Finland","0.99"
"280","45","2024-05-25","Hungary","1.98"
"281","47","2024-05-25","Italy","1.98"
"282","49","2024-05-26","Poland","3.96"
"283","53","2024-05-27","United Kingdom","5.94"
"284","59","2024-05-30","India","8.91"
"285","9","2024-06-04","Denmark","13.86"
"286","23","2024-06-12","USA","0.99"
"287","24","2024-06-25","USA","1.98"
"288","26","2024-06-25","USA","1.98"
"289","28","2024-06-26","USA","3.96"
"290","32","2024-06-27","Canada","5.94"
"291","38","2024-06-30","Germany","8.91"
"292","47","2024-07-05","Italy","13.86"
"293","2","2024-07-13","Germany","0.99"
"294","3","2024-07-26","Canada","1.98"
"295","5","2024-07-26","Czech Republic","1.98"
"296","7","2024-07-27","Austria","3.96"
"297","11","2024-07-28","Brazil","5.94"
"298","17","2024-07-31","USA","10.91"
"299","26","2024-08-05","USA","23.86"
"300","40","2024-08-13","France","0.99"
"301","41","2024-08-26","France","1.98"
"302","43","2024-08-26","France","1.98"
"303","45","2024-08-27","Hungary","3.96"
"304","49","2024-08-28","Poland","5.94"
"305","55","2024-08-31","Australia","8.91"
"306","5","2024-09-05","Czech Republic","16.86"
"307","19","2024-09-13","USA","1.99"
"308","20","2024-09-26","USA","3.98"
"309","22","2024-09-26","USA","3.98"
"310","24","2024-09-27","USA","7.96"
"311","28","2024-09-28","USA","11.94"
"312","34","2024-10-01","Portugal","10.91"
"313","43","2024-10-06","France","16.86"
"314","57","2024-10-14","Chile","0.99"
"315","58","2024-10-27","India","1.98"
"316","1","2024-10-27","Brazil","1.98"
"317","3","2024-10-28","Canada","3.96"
